ala,val,leu,ile,pro,cys,met,gly,trp,phe,lys,arg,his,tyr,thr,glu,gln,asp,asn,ser,AGORA2
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_AB_2008_23_01_01_7
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_AB_2008_23_07_01_7
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_AB_2009_04_01_7
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_AB_2009_04_02_7
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_AB_515_8
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_AB_908_12
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_AB_908_13
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_AB_909_01_7
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_AB_909_02_7
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_AB_909_05
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_AB_TG19617
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_AB_TG2018
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_AB_TG2022
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_AB_TG2023
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_AB_TG2026
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_AB_TG2028
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_AB_TG2030
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_AB_TG2031
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_AB_TG27335
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_AB_TG27339
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_AB_TG27343
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_AB0057
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_Ab11111
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_AB1H8
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_AB210
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_AB307_0294
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_AB31
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Acinetobacter_baumannii_Ab33333
